时间,15min交通量,15min上行外侧车道速度均值,15min上行外侧车道速度标准差,15min上行中间车道速度均值,15min上行中间车道速度标准差,15min上行内侧车道速度均值,15min上行内侧车道速度标准差,15min下行内侧车道速度均值,15min下行内侧车道速度标准差,15min下行中间车道速度均值,15min下行中间车道速度标准差,15min下行外侧车道速度均值,15min下行外侧车道速度标准差,15min上行速度均值,15min上行速度标准差,15min下行速度均值,15min下行速度标准差,15min 上行大型车数量,15min 上行中型车数量,15min 上行小型车数量,15min 下行大型车数量,15min 下行中型车数量,15min 下行小型车数量,分钟能见度m,降水天气现象,气温℃,湿度%RH,瞬时风速m/s,瞬时风向°,分钟内极大风速m/s,分钟内极大风向°,2 min平均风速m/s,2 min平均风向°,10 min平均风速m/s,10 min平均风向°,气压hPa,路面温度℃,路面状况 ,水膜厚度mm,冰层厚度mm,雪层厚度mm,湿滑系数
2019-12-05 15:30,12,111.44571428571427,21.910502932965965,124.55999999999999,15.081379247270453,nan,nan,nan,nan,-80.28,0.0,nan,nan,116.21454545454547,20.688296368033065,-80.28,0.0,0,5,6,0,1,0,[18711.0],[0.0],[5.0],[71.33333333333333],[3.233333333333333],[170.4],[3.233333333333333],[170.4],[2.393333333333333],[167.53333333333333],[2.3800000000000003],[166.86666666666667],[803.7000000000003],[15.520000000000001],[3.0],[0.0],[0.0],[0.0],[0.8106666666666669]
2019-12-05 15:45,103,89.118,16.24359800044313,111.67714285714284,17.022643503191112,111.24000000000001,15.56973988222026,-73.08,3.514996443810432,-85.536,9.50999810725533,nan,nan,96.94565217391302,19.639307152856343,-78.74181818181818,9.290626574605197,0,27,65,0,6,5,[19565.0],[0.0],[5.433333333333334],[70.16666666666667],[3.4666666666666663],[163.5],[3.4666666666666663],[163.5],[2.633333333333333],[163.16666666666666],[2.3],[162.0],[803.6666666666666],[15.66666666666667],[1.0],[0.0],[0.0],[0.0],[0.82]
2019-12-05 16:00,101,86.94339622641509,20.52251694293839,112.54235294117647,14.787610684548923,110.01599999999999,12.476168642656287,-75.87,4.5634526402713975,-81.936,3.5609077494369314,nan,nan,97.65782608695653,22.09564612956131,-79.24000000000001,5.038412448380938,1,32,59,0,3,6,[19251.6],[0.0],[5.073333333333334],[70.8],[3.5],[170.46666666666667],[3.5],[170.46666666666667],[2.706666666666666],[170.46666666666667],[2.7000000000000006],[166.8],[803.7000000000003],[14.860000000000003],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2019-12-05 16:15,95,89.31661016949153,16.768754298171316,112.605,16.546944582006674,95.04,25.767886991369704,-65.04,13.918965478799059,-77.64,4.333312820464268,nan,nan,95.98247191011237,20.224507953953985,-71.33999999999999,12.080877451576105,1,29,59,0,5,1,[19051.066666666666],[0.0],[5.0600000000000005],[71.26666666666667],[3.38],[162.73333333333332],[3.38],[162.73333333333332],[2.6133333333333337],[159.53333333333333],[2.58],[163.86666666666667],[803.7133333333336],[14.426666666666668],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2019-12-05 16:30,94,82.4470588235294,15.79396897728254,105.08000000000001,18.43509696204498,92.41714285714286,20.56615646728223,-70.74000000000001,8.087991097917948,-83.73599999999999,10.863652424484131,nan,nan,90.45741176470587,19.979752995761142,-77.96,11.67657484025174,3,26,56,1,3,5,[18192.4],[0.0],[4.953333333333334],[71.66666666666667],[3.2],[157.8],[3.2],[157.8],[2.486666666666667],[155.0],[2.5466666666666664],[157.06666666666666],[803.7933333333332],[13.453333333333335],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2019-12-05 16:45,70,81.11999999999999,14.098442467166365,100.43999999999998,18.816268305409988,75.06,6.659999999999997,-63.900000000000006,6.66,-75.42,10.950452045463692,nan,nan,86.0625,17.636771069274555,-71.58,11.145312916199346,3,28,33,0,6,0,[18411.533333333333],[0.0],[4.819999999999999],[71.93333333333334],[3.353333333333334],[158.6],[3.353333333333334],[158.6],[2.5466666666666673],[153.6],[2.5333333333333337],[153.86666666666667],[803.8199999999998],[12.586666666666666],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2019-12-05 17:00,65,89.824,16.710898958464202,121.46399999999998,10.416635925287972,120.33,15.084332931886644,-76.08,4.92146319705837,-88.2,0.7199999999999989,nan,nan,96.67799999999998,20.90268681294345,-80.92800000000001,7.070678609581968,1,20,39,0,2,3,[18907.066666666666],[0.0],[4.706666666666665],[72.2],[2.94],[160.33333333333334],[2.94],[160.33333333333334],[2.2666666666666666],[153.26666666666668],[2.3066666666666666],[152.06666666666666],[803.8799999999998],[11.62],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2019-12-05 17:15,53,84.18193548387097,15.354339812984858,112.52571428571427,23.64897995815516,81.0,1.0799999999999983,-74.61,7.152027684510177,-79.785,9.078743029737103,nan,nan,92.73073170731708,30.834775457482817,-78.06,8.828975025448878,2,19,20,1,6,5,[17997.133333333335],[0.0],[4.386666666666666],[72.6],[2.7599999999999993],[154.13333333333333],[2.7599999999999993],[154.13333333333333],[2.073333333333333],[154.06666666666666],[2.153333333333334],[154.53333333333333],[803.8533333333331],[10.54],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2019-12-05 17:30,46,100.48909090909092,21.030201423211015,127.35,14.358032595031952,110.88,0.0,-73.656,5.628447743383606,-70.99199999999999,10.991266351062558,nan,nan,107.75612903225807,22.44856798039571,-72.768,7.935112853639828,0,6,25,0,8,7,[17131.466666666667],[0.0],[4.293333333333334],[72.8],[2.3200000000000003],[160.26666666666668],[2.3200000000000003],[160.26666666666668],[1.7333333333333334],[152.6],[1.7799999999999998],[151.8],[803.8933333333332],[9.300000000000002],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2019-12-05 17:45,44,90.29333333333334,21.743531349703886,108.648,22.319883870665635,nan,nan,-78.72,2.2061731573020316,-75.42,7.8108386233489675,nan,nan,95.25405405405405,23.368538269689505,-76.83428571428571,6.2940671773228685,0,16,21,0,5,2,[18263.466666666667],[0.0],[3.8599999999999985],[74.6],[2.4533333333333336],[160.8],[2.4533333333333336],[160.8],[1.886666666666667],[159.26666666666668],[1.9066666666666665],[159.06666666666666],[803.9666666666667],[8.113333333333332],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
