Ê±¼ä,15min½»Í¨Á¿,15minÉÏĞĞÍâ²à³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÍâ²à³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞÖĞ¼ä³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÖĞ¼ä³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞÄÚ²à³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÄÚ²à³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÄÚ²à³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÄÚ²à³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÖĞ¼ä³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÖĞ¼ä³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÍâ²à³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÍâ²à³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞËÙ¶È¾ùÖµ,15minÉÏĞĞËÙ¶È±ê×¼²î,15minÏÂĞĞËÙ¶È¾ùÖµ,15minÏÂĞĞËÙ¶È±ê×¼²î,15min ÉÏĞĞ´óĞÍ³µÊıÁ¿,15min ÉÏĞĞÖĞĞÍ³µÊıÁ¿,15min ÉÏĞĞĞ¡ĞÍ³µÊıÁ¿,15min ÏÂĞĞ´óĞÍ³µÊıÁ¿,15min ÏÂĞĞÖĞĞÍ³µÊıÁ¿,15min ÏÂĞĞĞ¡ĞÍ³µÊıÁ¿,·ÖÖÓÄÜ¼û¶Èm,½µË®ÌìÆøÏÖÏó,ÆøÎÂ¡æ,Êª¶È%RH,Ë²Ê±·çËÙm/s,Ë²Ê±·çÏò¡ã,·ÖÖÓÄÚ¼«´ó·çËÙm/s,·ÖÖÓÄÚ¼«´ó·çÏò¡ã,2 minÆ½¾ù·çËÙm/s,2 minÆ½¾ù·çÏò¡ã,10 minÆ½¾ù·çËÙm/s,10 minÆ½¾ù·çÏò¡ã,ÆøÑ¹hPa,Â·ÃæÎÂ¶È¡æ,Â·Ãæ×´¿ö ,Ë®Ä¤ºñ¶Èmm,±ù²ãºñ¶Èmm,Ñ©²ãºñ¶Èmm,Êª»¬ÏµÊı
2020-05-01 00:15,72,86.79176470588236,17.233253161631207,116.29384615384616,18.109461844130642,122.85,17.817954428048136,-71.1,3.059999999999995,-71.04,5.595140748899891,nan,nan,101.03062499999999,23.301343032309855,-71.055,5.081414665228574,1,22,41,0,3,5,[20000.0],[0.0],[13.758823529411764],[77.82352941176471],[1.6647058823529413],[154.1764705882353],[1.6647058823529413],[154.1764705882353],[1.6588235294117648],[151.8235294117647],[1.5529411764705883],[154.76470588235293],[796.9058823529411],[15.188235294117646],[3.0],[0.0],[0.0],[0.0],[0.81]
2020-05-01 00:30,32,83.86200000000001,16.491566208216852,109.54285714285713,15.525637520184583,89.28,0.0,-73.97999999999999,9.18,-78.84,13.32,nan,nan,90.4757142857143,19.409035713989987,-76.41,11.69411390401171,0,12,16,0,4,0,[20000.0],[0.0],[13.746666666666664],[77.0],[1.46],[181.46666666666667],[1.46],[181.46666666666667],[1.353333333333333],[176.2],[1.4400000000000004],[165.26666666666668],[796.7866666666665],[15.020000000000001],[3.0],[0.0],[0.0],[0.0],[0.8166666666666668]
2020-05-01 00:45,28,83.49882352941177,17.46626256609243,108.24000000000001,7.46125994722071,99.936,11.390117822042054,-62.459999999999994,11.7,-71.28,0.0,nan,nan,89.7552,18.122478664906737,-65.39999999999999,10.418598754151155,0,13,12,0,2,1,[20000.0],[0.0],[13.599999999999998],[78.6],[1.6599999999999997],[166.2],[1.6599999999999997],[166.2],[1.68],[165.0],[1.6],[173.0],[796.8866666666665],[14.933333333333337],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 01:00,13,85.32000000000001,18.92883514641089,101.34,15.342294482899227,76.68,0.0,-74.16,0.0,-74.16,0.0,nan,nan,90.36,18.8610768033487,-74.16,0.0,0,3,8,0,2,0,[19949.333333333332],[0.0],[13.5],[80.6],[1.4199999999999997],[169.53333333333333],[1.4199999999999997],[169.53333333333333],[1.38],[166.86666666666667],[1.4666666666666663],[168.06666666666666],[796.7733333333334],[14.833333333333337],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 01:15,10,77.112,19.096159194979496,120.96,0.0,nan,nan,-67.68,3.3898672540381294,-73.44,0.0,nan,nan,84.42,23.89394065448393,-69.12,3.8521682206258863,0,2,4,0,2,2,[19974.8],[0.0],[13.326666666666672],[81.0],[1.2933333333333332],[162.86666666666667],[1.2933333333333332],[162.86666666666667],[1.2333333333333334],[160.13333333333333],[1.2333333333333334],[161.8],[796.6466666666669],[14.999999999999998],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 01:30,9,96.24000000000001,22.981488202464174,107.46000000000001,17.1,122.76,0.0,nan,nan,nan,nan,nan,nan,101.67999999999999,22.21725455586266,nan,nan,0,1,8,0,0,0,[20000.0],[0.0],[13.320000000000004],[81.0],[1.2333333333333332],[156.26666666666668],[1.2333333333333332],[156.26666666666668],[1.2],[156.2],[1.2266666666666666],[157.13333333333333],[796.36],[14.946666666666669],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 01:45,6,86.22,10.82546996670353,120.24,0.0,nan,nan,-67.68,0.0,nan,nan,nan,nan,93.024,16.701206662992945,-67.68,0.0,0,1,4,0,1,0,[20000.0],[0.0],[13.280000000000003],[80.2],[0.9599999999999999],[135.8],[0.9599999999999999],[135.8],[0.9799999999999998],[131.46666666666667],[1.0666666666666667],[132.93333333333334],[796.1133333333335],[15.066666666666663],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 02:00,10,92.04,16.28732022157114,118.53,11.568763978921861,105.48,0.0,-77.76,0.0,-77.4,0.0,nan,nan,106.965,17.806756442429375,-77.58000000000001,0.17999999999999972,0,2,6,0,1,1,[20000.0],[0.0],[13.446666666666667],[79.06666666666666],[0.31333333333333335],[123.66666666666667],[0.31333333333333335],[123.66666666666667],[0.3],[107.2],[0.43333333333333335],[135.93333333333334],[796.1333333333334],[15.120000000000001],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 02:15,33,100.11,26.23000381242824,117.0553846153846,11.541481450959413,110.34,1.259999999999998,-71.64,0.35999999999999943,-74.25,14.559708101469615,nan,nan,109.02666666666666,20.893490746056667,-73.38,11.95325896983747,0,4,23,0,2,4,[20000.0],[0.0],[13.373333333333335],[77.4],[0.76],[69.86666666666666],[0.76],[69.86666666666666],[0.6599999999999999],[47.8],[0.5133333333333333],[49.13333333333333],[795.9666666666667],[14.966666666666669],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 02:30,30,90.14823529411764,14.526009222929632,104.61600000000001,11.39011782204205,97.19999999999999,19.159645090658646,-59.76,0.0,-75.48,10.401999807729283,nan,nan,94.01538461538462,15.885153501781087,-71.55,11.290965414879281,0,5,21,0,3,1,[20000.0],[0.0],[13.293333333333335],[76.0],[1.1666666666666667],[75.4],[1.1666666666666667],[75.4],[1.0933333333333333],[68.33333333333333],[0.9599999999999997],[37.46666666666667],[795.8999999999997],[14.726666666666663],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 02:45,16,78.36,15.83727249244642,127.08,0.0,87.66,13.14,nan,nan,-76.68,6.459969040173491,nan,nan,83.97000000000001,19.940840002367004,-76.68,6.459969040173491,0,5,7,0,4,0,[20000.0],[0.0],[13.246666666666664],[75.86666666666666],[1.5266666666666666],[76.93333333333334],[1.5266666666666666],[76.93333333333334],[1.4200000000000002],[50.266666666666666],[1.3133333333333335],[50.666666666666664],[795.6733333333335],[14.513333333333334],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 03:00,20,79.35428571428572,19.20703952583372,105.03,22.284225362349932,nan,nan,-72.48,7.954470441204743,-78.89999999999999,10.044401425669925,nan,nan,88.69090909090909,23.830444032999413,-76.75999999999999,9.874735439494064,0,3,8,0,7,2,[20000.0],[0.0],[13.113333333333332],[75.66666666666667],[1.4599999999999997],[72.2],[1.4599999999999997],[72.2],[1.4533333333333336],[71.46666666666667],[1.5999999999999999],[64.4],[795.7200000000001],[14.453333333333331],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 03:15,17,85.95,14.35126126861329,nan,nan,nan,nan,-74.52,1.1757550765359237,-82.47600000000001,6.420628006667261,nan,nan,85.95,14.35126126861329,-80.64,6.577724647510075,0,1,3,0,9,4,[20000.0],[0.0],[13.133333333333331],[74.86666666666666],[1.9133333333333336],[40.6],[1.9133333333333336],[40.6],[1.8133333333333335],[39.0],[1.5599999999999996],[49.333333333333336],[795.5333333333333],[14.373333333333338],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 03:30,14,84.84,10.410302589262239,66.24,0.0,nan,nan,-82.08,10.70962184206333,-69.36,7.82856308654404,nan,nan,82.18285714285715,11.629909364940673,-76.62857142857145,11.464304138836997,0,4,3,0,4,3,[20000.0],[0.0],[13.180000000000003],[75.8],[1.1000000000000003],[220.73333333333332],[1.1000000000000003],[220.73333333333332],[1.12],[182.0],[1.3999999999999997],[144.6],[795.7066666666668],[14.279999999999998],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 03:45,14,87.12,8.64,nan,nan,nan,nan,-83.52,9.36,-83.475,9.32434314040405,nan,nan,87.12,8.64,-83.484,9.331502772865688,0,3,1,0,5,5,[18133.4],[0.0],[13.266666666666664],[79.86666666666666],[0.7200000000000001],[251.93333333333334],[0.7200000000000001],[251.93333333333334],[0.7466666666666666],[262.53333333333336],[0.8466666666666666],[271.73333333333335],[795.6266666666668],[14.273333333333337],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 04:00,19,109.62,20.707824608104062,nan,nan,nan,nan,-80.424,4.057632807438344,-75.42,6.906466535066974,nan,nan,109.62,20.707824608104062,-77.08800000000002,6.546151235649846,0,0,4,0,11,4,[18526.533333333333],[0.0],[13.219999999999997],[79.93333333333334],[0.5933333333333334],[236.0],[0.5933333333333334],[236.0],[0.58],[217.13333333333333],[0.5866666666666666],[214.73333333333332],[795.5466666666667],[14.326666666666672],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 04:15,20,78.12,19.906893278460103,118.44,0.0,nan,nan,-60.75,16.69906284795647,-72.56571428571428,15.316910222871655,nan,nan,82.6,22.6454410422937,-68.2690909090909,16.82277323075936,0,2,7,0,7,4,[19753.8],[0.0],[13.206666666666665],[79.13333333333334],[0.43333333333333335],[113.26666666666667],[0.43333333333333335],[113.26666666666667],[0.36],[124.73333333333333],[0.34666666666666673],[188.8],[795.3333333333331],[14.139999999999997],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 04:30,22,73.845,18.76100676936075,nan,nan,69.48,0.0,-76.83428571428571,6.072492679858805,-78.9,5.488934322798915,nan,nan,73.36,17.741161179584612,-77.7876923076923,5.900996205135006,0,4,5,0,4,9,[19608.6],[0.0],[13.19333333333333],[79.6],[0.8266666666666667],[195.66666666666666],[0.8266666666666667],[195.66666666666666],[0.7333333333333335],[209.66666666666666],[0.6066666666666667],[179.66666666666666],[795.3199999999998],[13.833333333333334],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 04:45,18,65.69999999999999,9.54,75.96000000000001,1.8000000000000043,nan,nan,-78.03,7.909254073552072,-78.83999999999999,8.075563138258534,nan,nan,70.83,8.569871644313,-78.60857142857141,8.036732506918163,0,1,3,0,8,6,[17539.0],[0.0],[12.913333333333336],[82.46666666666667],[1.5666666666666669],[175.8],[1.5666666666666669],[175.8],[1.48],[173.2],[1.3],[182.66666666666666],[795.3533333333331],[13.566666666666666],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 05:00,21,94.50000000000001,15.900226413482292,nan,nan,nan,nan,-74.952,8.143960707174367,-79.41,6.8926264950307585,nan,nan,94.50000000000001,15.900226413482292,-78.09882352941177,7.560978681091288,0,2,2,0,11,6,[17345.866666666665],[0.0],[12.659999999999998],[84.0],[1.2933333333333332],[177.33333333333334],[1.2933333333333332],[177.33333333333334],[1.2866666666666668],[176.13333333333333],[1.3599999999999999],[176.86666666666667],[795.4333333333332],[13.586666666666668],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 05:15,24,87.795,21.32482532167614,nan,nan,68.4,1.0800000000000054,-73.44,1.0799999999999983,-75.3,6.002099632628569,nan,nan,83.91600000000001,20.596562431629216,-75.0342857142857,5.609723337061049,0,3,7,0,10,4,[17096.666666666668],[0.0],[12.679999999999996],[84.0],[1.1600000000000001],[173.53333333333333],[1.1600000000000001],[173.53333333333333],[1.0866666666666667],[170.6],[1.1266666666666665],[170.53333333333333],[795.5066666666667],[13.993333333333332],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 05:30,22,112.824,21.36787270647221,117.11999999999999,7.800923022309604,nan,nan,-72.18,4.1399999999999935,-80.28,0.0,nan,nan,114.85894736842106,16.544947994935633,-74.88,5.099647046610183,0,3,16,0,3,0,[18362.466666666667],[0.0],[12.613333333333333],[84.0],[1.3666666666666667],[176.26666666666668],[1.3666666666666667],[176.26666666666668],[1.2999999999999998],[169.6],[1.2400000000000004],[167.86666666666667],[795.5933333333335],[13.906666666666668],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-05-01 05:45,51,92.55,17.304331827608948,110.21400000000001,12.354492462258415,115.2,6.193674192270694,nan,nan,-69.48,0.0,nan,nan,102.33359999999999,17.321621374455685,-69.48,0.0,0,10,40,0,1,0,[18445.266666666666],[0.0],[12.466666666666669],[84.66666666666667],[1.7666666666666666],[226.86666666666667],[1.7666666666666666],[226.86666666666667],[1.66],[221.0],[1.54],[205.6],[795.9466666666667],[13.82],[3.0],[0.0],[0.0],[0.0],[0.8126666666666669]
2020-05-01 06:00,57,81.4725,17.140555526294943,108.08999999999999,15.126006460020152,111.89999999999999,6.524568951279464,-76.74000000000001,7.811299507764375,-97.2,0.0,nan,nan,100.02960000000002,19.767115819967263,-79.66285714285716,10.176361564620114,1,10,39,0,2,5,[20000.0],[3.0],[12.046666666666669],[83.46666666666667],[1.8266666666666667],[255.53333333333333],[1.8266666666666667],[255.53333333333333],[1.853333333333333],[254.66666666666666],[1.8266666666666669],[249.33333333333334],[796.0866666666668],[13.393333333333338],[3.0],[0.0],[0.0],[0.0],[0.8100000000000003]
2020-05-01 06:15,96,83.31882352941177,17.09173721331036,109.05300000000003,13.281118589938123,107.52923076923076,10.676884061112489,-56.88,0.0,-71.145,9.495639788871523,nan,nan,98.76827586206895,19.12269604223997,-69.56,10.012312420215423,1,11,75,0,5,4,[18108.466666666667],[3.0],[11.906666666666666],[83.8],[1.2000000000000002],[212.53333333333333],[1.2000000000000002],[212.53333333333333],[1.1],[211.66666666666666],[1.1733333333333333],[217.53333333333333],[796.2466666666664],[13.426666666666666],[4.0],[0.05999999999999999],[0.0],[0.0],[0.7866666666666665]
2020-05-01 06:30,88,77.8275,13.940252642976024,104.64,12.531158879255457,97.37999999999998,14.718390828192756,nan,nan,nan,nan,nan,nan,93.735,18.192415315180114,nan,nan,1,13,74,0,0,0,[18558.666666666668],[3.0],[11.299999999999999],[82.6],[1.9466666666666668],[278.93333333333334],[1.9466666666666668],[278.93333333333334],[1.9400000000000002],[273.53333333333336],[1.8399999999999999],[257.6],[796.3999999999999],[12.96],[4.0],[0.36666666666666664],[0.0],[0.0],[0.7446666666666668]
2020-05-01 06:45,99,81.45230769230768,15.309085363749077,97.74999999999999,16.34082923232478,100.60363636363635,13.885044454524884,-77.76,0.0,-75.96,0.0,nan,nan,91.84453608247422,17.630208261432465,-76.86,0.9000000000000057,6,17,74,0,1,1,[13733.533333333333],[3.0],[10.953333333333335],[83.13333333333334],[1.8933333333333335],[303.0],[1.8933333333333335],[303.0],[1.8133333333333332],[319.4],[1.8799999999999997],[316.0],[796.26],[12.953333333333337],[4.0],[1.38],[0.0],[0.0],[0.6733333333333335]
2020-05-01 07:00,94,78.03183673469388,11.884681217719464,97.71272727272726,16.622970465817414,101.12,8.945345158237329,-65.16,0.0,-86.22,1.980000000000004,nan,nan,87.45230769230768,16.988606076803297,-79.2,10.058548603054023,0,27,64,0,1,2,[17855.066666666666],[3.0],[10.673333333333334],[83.66666666666667],[2.213333333333333],[275.53333333333336],[2.213333333333333],[275.53333333333336],[2.1599999999999997],[293.93333333333334],[2.0],[335.73333333333335],[796.0733333333334],[13.0],[4.0],[2.1599999999999997],[0.0],[0.0],[0.6393333333333334]
2020-05-01 07:15,110,74.62928571428571,14.834277855352308,100.51714285714284,16.60559605699727,92.11304347826089,20.979425622092045,-83.28,10.016945642260417,nan,nan,nan,nan,85.16186915887852,20.299812905120103,-83.28,10.016945642260417,0,27,80,0,0,3,[15236.642857142857],[3.0],[10.6],[82.78571428571429],[1.4214285714285713],[216.14285714285714],[1.4214285714285713],[216.14285714285714],[1.4714285714285715],[248.78571428571428],[1.6357142857142855],[325.42857142857144],[796.0857142857145],[13.014285714285716],[4.0],[1.5000000000000002],[0.0],[0.0],[0.6685714285714287]
2020-05-01 07:30,81,75.56487804878049,10.513709313164089,96.52695652173912,15.968009985942306,84.63272727272727,16.531128263155317,-74.16,0.35999999999999943,-84.06,8.551420934558184,nan,nan,83.32319999999999,16.288695152159978,-80.76,8.400857099129826,2,28,45,0,2,4,[19307.666666666668],[3.0],[10.659999999999998],[83.33333333333333],[1.1599999999999997],[196.86666666666667],[1.1599999999999997],[196.86666666666667],[1.0866666666666667],[166.26666666666668],[1.1866666666666668],[186.46666666666667],[796.2199999999999],[13.226666666666665],[4.0],[1.3733333333333329],[0.0],[0.0],[0.6719999999999998]
2020-05-01 07:45,85,78.432,13.071432056205623,102.52799999999999,16.984981601403046,90.9,17.452575741133458,-77.58,7.739999999999995,-82.16000000000001,5.941582280840684,nan,nan,87.24648648648649,18.565882137596226,-81.32727272727273,6.549544176934744,1,31,42,0,6,5,[18386.533333333333],[2.0],[10.73333333333333],[83.46666666666667],[1.1933333333333336],[97.86666666666666],[1.1933333333333336],[97.86666666666666],[1.1666666666666667],[120.2],[1.16],[170.06666666666666],[796.3599999999998],[13.206666666666665],[4.0],[0.7933333333333331],[0.0],[0.0],[0.7040000000000002]
2020-05-01 08:00,52,80.37473684210526,14.523031207604829,100.61999999999999,10.408400453479873,106.44,10.861160159025372,-74.34,3.0600000000000023,-72.18,0.5399999999999991,nan,nan,84.57,16.249563071049018,-73.25999999999999,2.448264691572382,2,15,31,0,0,4,[20000.0],[3.0],[10.586666666666664],[82.53333333333333],[0.9466666666666668],[181.8],[0.9466666666666668],[181.8],[0.9266666666666665],[228.6],[0.9666666666666668],[169.13333333333333],[796.4333333333332],[13.193333333333333],[4.0],[0.5599999999999999],[0.0],[0.0],[0.7240000000000002]
2020-05-01 08:15,54,82.35310344827585,17.144899936041757,108.52,13.033249786603491,61.92,4.319999999999997,-87.66,5.219999999999999,-81.99,6.387886974579309,nan,nan,87.21900000000001,20.087868951185442,-82.8,6.542555202016148,0,15,25,0,6,8,[19494.6],[3.0],[10.74],[83.0],[0.82],[187.06666666666666],[0.82],[187.06666666666666],[0.7733333333333332],[177.93333333333334],[0.7933333333333336],[277.73333333333335],[796.3999999999999],[13.740000000000002],[4.0],[0.4666666666666668],[0.0],[0.0],[0.7300000000000001]
2020-05-01 08:30,62,84.70909090909092,18.47386825395436,110.04,12.89846502495549,114.48,0.0,-78.03,10.13889047184158,-85.05,8.656390702827593,nan,nan,91.96434782608696,20.548772485519073,-81.53999999999999,10.059085445506463,2,14,30,0,10,6,[19900.2],[0.0],[10.986666666666666],[81.8],[1.0266666666666664],[182.6],[1.0266666666666664],[182.6],[0.9800000000000001],[177.06666666666666],[0.8666666666666667],[171.13333333333333],[796.3133333333332],[13.893333333333334],[4.0],[0.3066666666666666],[0.0],[0.0],[0.7486666666666667]
2020-05-01 08:45,62,87.18923076923078,23.881998518851766,104.82,13.250766015593209,104.76000000000002,14.623269128344731,-69.72000000000001,9.965058956172815,-84.80571428571429,7.022589789168864,nan,nan,95.45877551020409,21.593061776134753,-77.84307692307692,11.355399518504495,0,14,35,0,6,7,[19836.8],[0.0],[11.273333333333333],[80.73333333333333],[1.2266666666666668],[224.33333333333334],[1.2266666666666668],[224.33333333333334],[1.12],[218.13333333333333],[1.0866666666666667],[213.93333333333334],[796.3399999999999],[14.766666666666667],[4.0],[0.29999999999999993],[0.0],[0.0],[0.75]
2020-05-01 09:00,81,97.78829268292682,17.356614807411994,106.80631578947369,18.43657811911913,100.92,17.605271937689576,-73.47999999999999,12.20871819643651,-77.34,7.323196023595161,nan,nan,100.66909090909091,18.143172747768563,-75.02399999999999,10.698563641910066,0,16,50,0,8,7,[20000.0],[0.0],[11.546666666666669],[79.6],[1.4933333333333334],[211.2],[1.4933333333333334],[211.2],[1.433333333333333],[212.26666666666668],[1.4666666666666666],[212.13333333333333],[796.4666666666667],[15.993333333333332],[4.0],[0.20666666666666672],[0.0],[0.0],[0.7606666666666666]
2020-05-01 09:15,92,97.00875,20.422859090673374,115.07478260869564,11.51100073825987,125.80000000000001,8.058982566056335,-71.10000000000001,11.911322344727308,-80.4825,8.203309926486991,nan,nan,107.55000000000001,19.69879818669149,-76.46142857142857,10.991729265447635,1,9,54,0,19,9,[19811.866666666665],[0.0],[11.913333333333334],[79.26666666666667],[1.6533333333333335],[207.6],[1.6533333333333335],[207.6],[1.6400000000000001],[205.8],[1.4866666666666668],[212.4],[796.6933333333334],[15.806666666666668],[4.0],[0.10000000000000003],[0.0],[0.0],[0.7779999999999999]
2020-05-01 09:30,93,105.02571428571429,18.8767709535464,117.384,12.959977777758725,123.27428571428572,16.547537457832426,-80.7,6.114409211035848,-84.375,7.2737318482330675,nan,nan,111.33569620253168,18.03266281814115,-82.8,7.040081168363251,0,15,64,0,10,4,[20000.0],[0.0],[11.96],[78.0],[1.366666666666667],[196.66666666666666],[1.366666666666667],[196.66666666666666],[1.3066666666666664],[195.33333333333334],[1.4200000000000002],[194.6],[796.7933333333332],[15.273333333333333],[4.0],[0.020000000000000004],[0.0],[0.0],[0.7920000000000001]
2020-05-01 09:45,86,93.58941176470589,17.38303516129117,114.62823529411764,14.088545299303226,106.06153846153848,13.996646766638754,-75.76363636363635,8.899772492217043,-79.23272727272727,8.778599071201088,nan,nan,101.71125,18.337151453742756,-77.4981818181818,9.007970024758196,0,19,45,0,15,7,[20000.0],[0.0],[12.286666666666667],[77.8],[1.3133333333333332],[266.6],[1.3133333333333332],[266.6],[1.3],[260.0],[1.2866666666666668],[249.0],[796.7200000000001],[16.326666666666668],[3.0],[0.0],[0.0],[0.0],[0.8100000000000003]
2020-05-01 10:00,81,97.836,19.671880032167742,111.53999999999999,10.506169615992311,128.16,12.61952772491903,-80.28,7.397686124728462,-78.72923076923078,6.7827501360645766,nan,nan,105.35094339622643,19.121043062271706,-79.55999999999999,7.160678339774402,0,4,49,0,19,9,[20000.0],[0.0],[12.906666666666668],[76.66666666666667],[1.3599999999999999],[216.13333333333333],[1.3599999999999999],[216.13333333333333],[1.2999999999999998],[219.66666666666666],[1.34],[229.2],[796.7266666666668],[19.966666666666672],[3.0],[0.0],[0.0],[0.0],[0.8100000000000003]
2020-05-01 10:15,88,97.47243243243243,18.662732543096798,114.76173913043478,15.28271079191576,108.25714285714285,18.814424340524116,-72.81818181818181,6.687744310822757,-84.816,5.847534865223121,nan,nan,104.53432835820894,19.349424398387082,-78.53142857142858,8.69573857632318,0,15,52,0,11,10,[20000.0],[0.0],[14.446666666666667],[73.2],[1.3466666666666667],[191.8],[1.3466666666666667],[191.8],[1.3466666666666665],[192.06666666666666],[1.2800000000000002],[182.26666666666668],[796.7866666666665],[21.86],[3.0],[0.0],[0.0],[0.0],[0.8100000000000003]
2020-05-01 10:30,74,101.04923076923077,18.000028402344455,118.20599999999999,10.087245610175257,116.46000000000001,5.940000000000005,-74.988,7.253888336609546,-84.0,10.401999807729283,nan,nan,107.17967213114753,17.56076793264763,-77.0676923076923,8.93659559499043,0,10,51,0,5,8,[20000.0],[0.0],[15.426666666666666],[69.2],[1.1933333333333331],[186.46666666666667],[1.1933333333333331],[186.46666666666667],[1.0933333333333335],[196.4],[1.12],[158.93333333333334],[796.8066666666665],[21.573333333333334],[3.0],[0.0],[0.0],[0.0],[0.8100000000000003]
2020-05-01 10:45,90,100.33116279069768,16.326397117366838,115.99199999999999,16.072538567382566,110.59200000000001,22.458230028210146,-76.44,7.149019513192003,-85.16571428571429,5.325278952164606,nan,nan,105.69176470588235,18.24171955107113,-79.21636363636362,7.7709356786885095,0,12,56,0,16,6,[20000.0],[0.0],[14.713333333333333],[67.46666666666667],[1.3933333333333333],[265.73333333333335],[1.3933333333333333],[265.73333333333335],[1.36],[262.6],[1.3733333333333333],[257.46666666666664],[796.8533333333332],[21.973333333333333],[3.0],[0.0],[0.0],[0.0],[0.8100000000000003]
2020-05-01 11:00,78,97.03255813953487,15.443323550749412,112.79076923076923,12.75091698756088,109.17,27.50806972508249,-82.476,6.003371053000137,-78.79499999999999,9.758984322151562,nan,nan,101.256,17.389138679072058,-80.84,8.10530690350464,0,13,47,0,12,6,[19427.2],[0.0],[15.686666666666667],[65.93333333333334],[1.0733333333333335],[230.66666666666666],[1.0733333333333335],[230.66666666666666],[0.9999999999999999],[233.8],[0.9866666666666667],[254.66666666666666],[796.6866666666668],[26.026666666666667],[3.0],[0.0],[0.0],[0.0],[0.8100000000000003]
