time,id,len,x_point,y_point,x_speed,y_speed
00:00:38,4,4.40,100.736,19.712,-96.84,2.16
00:00:42,6,4.40,100.416,20.032,-72.72,-1.8
00:02:14,9,5.00,100.608,6.464,93.6,0
00:02:26,10,4.40,100.48,10.56,113.4,0
00:02:32,12,8.60,100.096,2.368,86.04,0
00:02:32,13,5.00,100.288,24.448,-83.52,-1.44
00:03:36,17,4.40,100.992,24.96,-63.72,0
00:04:38,22,4.40,100.992,19.136,-71.64,2.16
00:05:25,24,2.40,100.48,5.76,73.8,0
00:05:28,27,8.60,100.8,21.952,-79.56,1.44
00:06:03,32,6.40,100.672,6.464,104.76,0
00:06:09,33,12.00,100.096,3.2,80.64,0
00:07:16,39,6.00,100.928,6.848,78.48,0
00:07:33,41,8.60,100.8,2.944,85.68,0
00:07:33,42,8.00,100.992,6.848,109.08,0
00:09:32,45,3.00,100.544,6.272,85.32,0
00:10:19,47,4.40,100.672,25.408,-70.2,-1.44
00:10:29,49,4.40,100.928,10.624,113.76,0
00:11:00,51,8.60,100.416,2.944,70.56,0
00:11:06,52,8.60,100.608,10.816,76.68,0
00:11:35,59,4.40,100.224,10.048,77.04,0
00:11:35,57,1.00,100.992,2.816,77.76,0
00:11:45,61,4.20,100.48,5.888,78.84,0
00:11:48,63,4.40,100.992,10.048,97.56,0
00:12:19,69,4.40,100.096,10.368,72.36,0
00:12:19,68,5.40,100.224,2.816,73.44,0
00:12:42,72,1.40,100.16,3.648,64.08,0
00:13:09,76,4.40,100.736,6.464,120.6,0
00:14:29,79,8.60,100.928,2.624,75.6,0
00:15:38,83,8.60,100.352,25.856,-80.28,1.08
00:17:27,84,4.40,100.928,20.672,-77.4,-0.36
00:17:56,85,4.40,100.096,7.808,132.84,0
00:18:19,89,4.40,100.096,9.472,72.36,0
00:18:19,88,4.60,100.096,2.368,73.44,0
00:18:42,90,6.00,100.416,6.272,74.88,0
00:18:45,91,10.40,100.672,2.688,73.44,0
00:20:30,95,6.00,100.608,6.592,71.64,0
00:20:52,96,4.40,100.608,10.496,123.48,0
00:21:27,99,8.60,100.16,19.008,-77.04,1.08
00:23:06,102,5.00,100.288,6.144,88.2,0
00:23:07,103,4.40,100.416,19.264,-82.8,3.24
00:23:07,101,8.60,100.672,19.392,-82.44,-0.36
00:25:10,107,8.60,100.032,6.08,76.68,0
00:26:28,112,4.40,100.224,11.392,62.64,0
00:26:28,111,11.00,100.672,2.56,63.72,0
00:26:55,113,12.40,100.608,6.656,89.28,0
00:27:44,117,6.00,100.096,2.688,36.36,0
00:27:54,120,8.60,100.224,19.648,-82.44,2.52
00:28:03,122,5.00,100.864,9.6,109.08,0
00:28:04,121,10.00,100.288,3.264,58.68,0
00:28:22,127,8.60,100.608,19.392,-64.8,2.16
00:28:28,129,4.40,100.288,11.84,139.32,0
00:28:31,128,6.00,100.8,2.56,67.32,0
00:29:03,133,6.00,100.544,24.128,-70.2,1.44
00:30:18,139,6.00,100.672,6.4,87.48,0
00:30:31,143,8.60,100.992,3.2,86.76,0
00:30:54,146,6.00,100.672,21.568,-57.24,-1.44
00:31:11,147,1.40,100.544,3.008,79.92,0
00:31:24,149,1.40,100.032,6.144,81.36,0
00:31:42,153,5.00,100.864,2.048,104.76,0
00:31:50,155,8.60,100.928,5.696,74.88,0
00:31:55,156,5.40,100.672,9.664,104.4,0
00:32:52,161,2.40,100.16,2.688,74.88,0
00:33:47,168,11.40,100.16,3.264,75.6,0
00:33:55,171,5.40,100.544,9.536,111.24,0
00:35:00,172,5.00,100.992,2.88,116.64,0
00:36:17,176,4.40,100.16,20.16,-88.92,0
00:36:53,177,11.00,100.864,3.136,82.44,0
00:37:16,180,11.00,100.48,6.272,71.28,0
00:38:09,185,8.40,100.672,6.976,105.84,0
00:38:09,184,4.40,100.032,2.112,73.44,0
00:40:04,191,4.40,100.416,10.24,84.24,0
00:40:04,190,4.60,100.224,3.84,85.32,0
00:40:13,193,5.40,100.032,2.304,73.08,0
00:41:04,197,8.60,100.672,19.008,-89.64,1.08
00:41:04,198,8.60,100.608,23.36,-91.08,-0.72
00:41:32,199,4.40,100.224,9.408,145.44,0
00:41:38,203,4.40,100.096,10.688,65.52,0
00:41:39,202,8.60,100.8,2.624,66.6,0
00:41:54,204,4.40,100.736,7.424,109.44,0
00:41:58,206,8.60,100.928,22.528,-88.92,2.52
00:42:00,207,5.00,100.416,6.72,132.12,0
00:42:18,211,5.00,100.096,9.408,101.88,0
00:42:27,212,6.00,100.096,2.624,78.84,0
00:42:37,213,4.40,100.992,10.752,112.32,0
00:44:51,225,8.60,100.224,22.016,-83.16,1.8
00:45:11,228,5.00,100.096,10.048,94.68,0
00:45:32,230,8.60,100.416,2.56,73.08,0
00:45:33,232,4.40,100.352,9.792,114.12,0
00:45:55,234,11.40,100.224,2.432,71.64,0
00:46:28,238,8.60,100.544,18.88,-92.52,2.52
00:48:01,240,5.40,100.16,3.072,70.92,0
00:48:07,241,1.20,100.992,6.272,85.32,0
00:48:53,245,6.40,100.032,5.376,83.88,0
00:51:27,247,8.60,100.48,2.688,42.48,0
00:51:42,248,5.40,100.544,6.272,108.72,0
00:51:54,249,8.60,100.416,22.784,-92.16,1.08
00:52:00,251,8.60,100.16,2.432,70.56,0
00:52:32,254,6.00,100.288,6.4,74.88,0
00:52:49,257,6.00,100.608,22.4,-77.04,0
00:53:07,262,6.00,100.608,3.328,66.6,0
00:53:10,265,8.60,100.352,7.488,85.68,0
00:53:24,268,5.40,100.736,2.816,88.56,0
00:54:01,272,6.00,100.352,3.008,77.4,0
00:54:04,274,8.60,100.8,20.16,-73.8,0
00:54:47,275,5.00,100.48,23.168,-66.24,1.08
00:55:06,278,8.60,100.544,20.16,-72.72,-0.36
00:56:02,280,12.00,100.48,3.392,78.84,0
00:56:08,281,4.40,100.416,9.216,93.24,0
00:57:54,282,10.00,100.416,2.944,83.52,0
00:58:26,284,8.40,100.992,17.408,-96.48,0.72
01:02:44,289,8.40,100.736,10.944,93.24,0
01:03:00,291,7.00,100.864,7.232,67.68,0
01:03:57,298,4.40,100.928,26.432,-85.32,-0.36
01:07:43,305,8.60,100.8,19.072,-84.6,-0.36
01:08:19,307,9.40,100.032,3.2,68.76,0
01:08:57,311,6.40,100.032,7.36,111.96,0
01:09:08,312,4.40,100.928,9.728,112.32,0
01:10:14,318,5.40,100.352,10.112,126.36,0
01:10:17,321,8.60,100.352,18.88,-69.12,-1.44
01:10:20,320,8.40,100.48,6.144,94.32,0
01:10:44,323,4.40,100.16,10.368,112.32,0
01:11:38,324,8.60,100.48,22.336,-74.52,-0.36
01:13:08,328,4.40,100.608,20.352,-70.92,0.72
01:13:17,332,8.60,100.16,23.936,-77.76,-0.36
01:13:18,331,8.60,100.544,20.544,-82.08,0.36
01:15:43,339,6.40,100.352,5.632,82.08,0
01:18:32,344,5.00,100.736,6.592,113.76,0
01:20:54,347,9.00,100.992,5.376,73.44,0
01:24:17,353,3.20,100.032,1.728,64.44,0.36
01:24:17,351,2.60,100.224,2.56,64.44,0
01:24:25,355,6.00,100.928,4.096,72.72,0
01:26:03,359,4.40,100.736,6.208,73.08,0
01:26:10,361,4.40,100.032,7.936,114.48,0
01:26:57,367,8.60,100.224,2.56,65.52,0
01:27:30,369,5.40,100.544,6.144,67.68,0
01:27:42,372,6.40,100.352,12.096,125.28,0
01:27:43,371,10.00,100.032,22.208,-82.8,3.6
01:28:45,374,3.00,100.608,3.008,90.72,0
01:29:04,375,8.60,100.608,20.8,-76.32,0.36
01:29:18,377,4.40,100.864,11.392,117,0
01:29:29,379,5.00,100.352,9.536,106.56,0
01:29:56,383,4.40,100.928,9.984,114.12,0
01:30:11,387,4.60,100.8,2.88,78.84,0
01:30:24,392,1.20,100.16,2.368,82.44,0
01:32:54,398,5.00,100.032,26.688,-81,-1.08
01:33:31,400,8.60,100.992,21.696,-79.2,2.16
01:34:29,404,8.60,100.224,2.688,73.08,0
01:34:30,407,4.40,100.352,25.088,-67.32,-0.36
01:34:40,409,8.40,100.928,6.848,108.36,0
01:34:50,411,8.60,100.48,21.76,-70.56,0.36
01:35:27,417,10.00,100.096,3.2,68.4,0
01:37:14,420,6.40,100.352,23.616,-81.72,1.08
01:39:09,426,4.40,100.352,23.168,-69.12,1.08
01:39:34,427,8.00,100.48,9.856,95.04,0
01:40:08,429,8.60,100.352,1.6,50.76,-0.36
01:42:15,432,8.60,100.352,25.664,-77.4,0.36
01:44:22,437,6.40,100.288,6.848,76.32,0
01:44:42,441,5.00,100.544,19.776,-72.72,0
01:44:56,439,8.60,100.16,18.624,-65.52,1.44
01:46:34,446,8.60,100.032,18.368,-84.96,0
01:49:02,455,8.60,100.032,3.008,74.52,0
01:49:19,457,4.40,100.352,22.016,-85.32,-0.36
01:49:41,458,4.40,100.352,-2.304,58.68,0
01:49:49,459,6.40,100.16,6.528,85.32,0
01:49:55,460,4.40,100.864,9.792,123.84,0
01:50:27,464,4.40,100.224,24.064,-81,0.72
01:50:59,465,7.40,100.8,6.08,66.6,0
01:51:07,468,8.60,100.608,3.968,81.72,0
01:51:15,473,8.60,100.864,4.224,82.08,0
01:52:43,486,4.40,100.672,2.56,76.32,0
01:52:59,489,6.00,100.992,3.328,78.12,0
01:53:47,496,4.40,100.608,7.744,109.08,0
01:53:53,497,6.00,100.288,4.352,82.08,0
01:55:29,499,8.60,100.16,24,-79.92,0.36
01:55:43,500,8.60,100.8,21.888,-74.16,-1.08
01:56:17,501,8.60,100.992,26.112,-74.88,-2.16
01:57:34,503,4.40,100.032,3.136,76.68,0
01:58:41,509,4.40,100.544,7.68,71.28,0
01:58:41,508,4.60,100.288,3.072,73.08,0
02:03:36,515,11.00,100.096,2.24,78.48,0
02:04:22,518,3.20,100.928,7.488,74.52,0
02:05:21,525,11.40,100.096,5.888,69.12,0
02:06:36,527,1.20,100.672,6.4,89.64,0
02:06:44,528,4.40,100.672,19.136,-61.56,0.72
02:08:10,533,8.60,100.672,24.96,-66.24,0.72
02:09:52,535,8.60,100.288,16.768,-90.36,0
02:09:57,537,5.00,100.48,6.912,99.72,0
02:11:40,540,4.00,100.992,4.736,72.72,0
02:12:59,545,4.40,100.672,6.464,97.92,0
02:13:30,546,4.40,100.352,23.616,-73.08,-1.44
02:13:41,548,4.40,100.096,22.08,-73.8,-1.44
02:14:31,550,4.40,100.416,20.032,-79.92,-1.8
02:16:20,554,2.40,100.416,6.4,92.52,0
02:17:44,556,5.00,100.224,5.76,83.16,0
02:17:51,557,8.00,100.224,6.592,108.72,0
02:19:25,560,8.60,100.8,23.04,-78.12,2.88
02:20:01,561,4.40,100.416,10.496,106.56,0
02:20:35,563,5.40,100.416,6.784,99.72,0
02:20:44,564,8.60,100.864,22.208,-60.84,-0.36
02:21:35,566,5.00,100.8,9.856,89.28,0
02:22:54,567,4.40,100.16,21.696,-86.4,0.72
02:25:36,572,4.40,100.608,19.392,-76.68,2.16
02:26:44,573,7.00,100.16,5.888,112.32,0
02:26:46,574,6.40,100.672,21.504,-93.96,-0.72
02:28:57,580,8.60,100.416,19.776,-69.12,-1.08
02:29:24,582,4.40,100.928,6.464,122.4,0
02:29:49,584,4.40,100.288,6.72,68.4,0
02:30:06,585,4.40,100.992,22.144,-76.68,-0.72
02:32:09,587,4.40,100.48,2.816,69.48,0
02:33:29,592,4.40,100.352,23.04,-67.32,-0.72
02:35:52,594,5.00,100.48,6.4,95.04,0
02:36:46,595,8.60,100.608,24.96,-74.52,-1.44
02:36:47,596,8.60,100.032,22.784,-75.24,1.44
02:37:08,599,6.00,100.672,6.4,78.12,0
02:39:30,602,5.40,100.8,19.968,-77.76,0.36
02:42:10,603,6.00,100.352,4.736,59.4,0
02:44:03,606,8.60,100.672,22.336,-77.04,0.36
02:46:33,611,4.60,100.864,2.944,70.92,0
02:47:04,616,9.00,100.736,6.4,79.56,0
02:49:40,621,5.40,100.864,10.496,123.48,0
02:49:41,622,1.40,100.352,4.992,75.6,0
02:49:41,620,8.60,100.544,6.976,75.6,0
