时间,分钟能见度m,降水天气现象 ,气温℃,湿度%RH,瞬时风速m/s,瞬时风向°,分钟内极大风速m/s,分钟内极大风向°,2 min平均风速m/s,2 min平均风向°,10 min平均风速m/s,10 min平均风向°,气压hPa,路面温度℃,路面状况 ,水膜厚度mm,冰层厚度mm,雪层厚度mm,湿滑系数 
2020-06-01 00:00:00,20000,0,17.1,79,0.9,172,0.9,172,0.7,160,1,131,795.6,21.9,3,0,0,0,0.81
2020-06-01 00:01:00,20000,0,17.1,79,1.1,174,1.1,174,0.8,165,0.9,138,795.7,22,3,0,0,0,0.81
2020-06-01 00:02:00,20000,0,17.1,79,1.1,174,1.1,174,1,170,0.8,144,795.7,22.1,3,0,0,0,0.81
2020-06-01 00:03:00,20000,0,17.1,79,1.1,174,1.1,174,1.1,170,0.8,150,795.7,22.1,3,0,0,0,0.81
2020-06-01 00:04:00,20000,0,17.2,79,1.3,230,1.3,230,1.1,172,0.8,155,795.7,21.8,3,0,0,0,0.81
2020-06-01 00:05:00,20000,0,17.2,79,1.5,195,1.5,195,1.2,201,0.8,165,795.7,21.8,3,0,0,0,0.81
2020-06-01 00:06:00,20000,0,17.3,79,1.1,200,1.1,200,1.3,211,0.9,172,795.7,21.8,3,0,0,0,0.81
2020-06-01 00:07:00,20000,0,17.3,79,1.2,229,1.2,229,1.2,198,1,178,795.7,21.6,3,0,0,0,0.81
2020-06-01 00:08:00,20000,0,17.2,79,1.2,218,1.2,218,1.1,213,1,185,795.7,21.5,3,0,0,0,0.81
2020-06-01 00:09:00,20000,0,17.2,78,1.1,222,1.1,222,1.1,219,1.1,190,795.7,21.5,3,0,0,0,0.81
2020-06-01 00:10:00,20000,0,17.2,79,1.2,226,1.2,226,1.1,217,1.1,197,795.7,21.3,3,0,0,0,0.81
2020-06-01 00:11:00,20000,0,17.2,79,1.7,223,1.7,223,1.1,222,1.1,202,795.7,21.3,3,0,0,0,0.81
2020-06-01 00:12:00,20000,0,17.2,80,1.7,235,1.7,235,1.4,222,1.2,208,795.8,21.2,3,0,0,0,0.81
2020-06-01 00:13:00,20000,0,17.2,80,1.9,246,1.9,246,1.7,228,1.3,214,795.8,21,3,0,0,0,0.81
2020-06-01 00:14:00,20000,0,17.1,80,1.9,248,1.9,248,1.8,240,1.3,221,795.8,20.9,3,0,0,0,0.81
2020-06-01 00:15:00,20000,0,17.1,80,1.9,193,1.9,193,1.9,242,1.4,222,795.8,20.8,3,0,0,0,0.81
2020-06-01 00:16:00,20000,0,17,80,2.3,226,2.3,226,1.9,216,1.5,222,795.8,20.9,3,0,0,0,0.81
2020-06-01 00:17:00,20000,0,17,80,2.2,208,2.2,208,2.1,208,1.6,224,795.8,20.8,3,0,0,0,0.81
2020-06-01 00:18:00,20000,0,17,80,2,205,2,205,2.2,214,1.7,222,795.8,20.8,3,0,0,0,0.81
2020-06-01 00:19:00,20000,0,16.9,80,2.3,211,2.3,211,2.1,205,1.8,221,795.8,20.8,3,0,0,0,0.81
2020-06-01 00:20:00,20000,0,16.9,80,2.1,217,2.1,217,2.1,207,1.9,220,795.8,20.8,3,0,0,0,0.81
2020-06-01 00:21:00,20000,0,16.9,80,2,193,2,193,2.1,211,2,219,795.8,20.8,3,0,0,0,0.81
2020-06-01 00:22:00,20000,0,16.8,80,1.6,184,1.6,184,2,200,2,215,795.8,20.7,3,0,0,0,0.81
2020-06-01 00:23:00,20000,0,16.9,81,2,191,2,191,1.8,184,2,210,795.8,20.7,3,0,0,0,0.81
2020-06-01 00:24:00,20000,0,16.9,81,2.8,180,2.8,180,1.8,184,2,204,795.8,20.7,3,0,0,0,0.81
2020-06-01 00:25:00,20000,0,16.9,81,2.6,182,2.6,182,2.4,184,2.1,198,795.8,20.7,3,0,0,0,0.81
2020-06-01 00:26:00,20000,0,16.8,81,1.5,206,1.5,206,2.6,181,2.1,197,795.8,20.6,3,0,0,0,0.81
2020-06-01 00:27:00,20000,0,16.9,81,1.6,217,1.6,217,2,194,2.1,196,795.7,20.6,3,0,0,0,0.81
2020-06-01 00:28:00,20000,0,16.8,81,1.5,173,1.5,173,1.5,208,2,196,795.7,20.6,3,0,0,0,0.81
